Age Range,RemoteWork,EdLevel,YearsCode,DevType,OrgSize,Country,ICorPM,WorkExp,Industry,TotalComp
30,Remote,Some college,7,Student,15,United States of America,Individual contributor,8,Transportation or Supply Chain,110000
50,Remote,Some college,38,"Developer, full-stack",2500,United States of America,Individual contributor,30,Healthcare,195000
40,Remote,Masters,21,"Developer, back-end",250,Brazil,Individual contributor,17,Other,170000
20,Remote,Bachelors,9,"Developer, embedded applications or devices",2500,Ukraine,Individual contributor,4,Software Development,50000
30,Remote,Bachelors,20,"Engineer, site reliability",250,United States of America,Individual contributor,15,Software Development,230000
40,In-person,Bachelors,25,"Developer, full-stack",50,United States of America,Individual contributor,25,Retail and Consumer Services,85000
40,Remote,Secondary school,20,"Developer, full-stack",15,United States of America,Individual contributor,20,Software Development,160000
60,Remote,Bachelors,25,"Developer, front-end",2500,United States of America,,0,Other,110000
40,In-person,Masters,23,Engineering manager,10000,United States of America,,0,Other,190000
50,In-person,Associates,10,"Developer, full-stack",250,United States of America,Individual contributor,10,Other,115000
50,Hybrid,Professional degree,28,"Developer, back-end",2500,United States of America,Individual contributor,28,Software Development,300000
50,Remote,Bachelors,30,"Developer, QA or test",10000,United States of America,Individual contributor,23,Retail and Consumer Services,140000
30,Remote,Associates,6,"Developer, full-stack",10000,United States of America,Individual contributor,4,Internet Telecomm or Information Services,93000
40,Hybrid,Professional degree,19,Academic researcher,15,United States of America,Individual contributor,12,Other,100000
60,Remote,Bachelors,24,"Developer, full-stack",2500,United States of America,Individual contributor,24,Government,102000
40,Remote,Bachelors,20,"Developer, full-stack",250,United States of America,,0,Other,170000
30,Remote,Bachelors,5,System administrator,250,United States of America,Individual contributor,17,Software Development,136000
50,In-person,Bachelors,25,"Developer, full-stack",50,United States of America,Individual contributor,26,Software Development,175000
40,Remote,Bachelors,15,"Developer, full-stack",250,Bolivia,Individual contributor,7,Transportation or Supply Chain,31200
50,Remote,Secondary school,25,"Developer, desktop or enterprise applications",50,United States of America,People manager,25,Other,130000
40,In-person,Masters,15,Research & Development role,7500,United States of America,Individual contributor,15,Government,150000
40,Remote,Secondary school,21,"Developer, back-end",10000,United States of America,Individual contributor,19,Software Development,400000
30,Remote,Some college,15,Other,2500,United States of America,Individual contributor,9,Software Development,160000
30,Hybrid,Bachelors,11,"Developer, desktop or enterprise applications",5,United States of America,Individual contributor,9,Software Development,100000
40,Remote,Associates,15,"Developer, full-stack",500 to 999,United States of America,,0,Other,100000
40,Remote,Masters,26,"Developer, full-stack",250,United States of America,Individual contributor,22,Other,220000
40,Remote,Bachelors,21,"Developer, back-end",10000,United States of America,Individual contributor,13,Software Development,220000
40,Remote,Bachelors,30,"Developer, full-stack",2500,United States of America,Individual contributor,25,Transportation or Supply Chain,250000
60,Remote,Bachelors,40,"Developer, full-stack",15,United States of America,Individual contributor,40,Software Development,140000
50,Hybrid,Bachelors,33,"Developer, back-end",15,United States of America,Individual contributor,25,Software Development,150000
30,Remote,Masters,9,Other,10000,Ukraine,,0,Other,65000
50,Remote,Professional degree,20,Data scientist or machine learning specialist,5,United States of America,Individual contributor,15,Other,100000
70,Remote,Bachelors,31,"Developer, back-end",250,United States of America,Individual contributor,44,Internet Telecomm or Information Services,150000
30,Remote,Bachelors,13,"Developer, full-stack",1,United States of America,,0,Other,150000
40,Hybrid,Associates,14,"Developer, full-stack",250,United States of America,Individual contributor,10,Insurance,150000
60,Remote,Bachelors,31,"Developer, back-end",10000,United States of America,Individual contributor,25,Retail and Consumer Services,185000
30,Remote,Secondary school,24,Security professional,5,United States of America,,0,Other,55000
30,Hybrid,Bachelors,5,"Developer, back-end",10000,United States of America,Individual contributor,4,Internet Telecomm or Information Services,120000
30,Remote,Bachelors,12,Other,10000,United States of America,Individual contributor,7,Banking or Financial Services,205000
40,Remote,Masters,13,"Developer, full-stack",50,Paraguay,Individual contributor,10,Fintech,100000
30,Hybrid,Masters,5,"Developer, full-stack",2500,United States of America,,0,Other,101000
50,Remote,Masters,32,Developer Experience,50,United States of America,Individual contributor,24,Software Development,300000
30,Remote,Bachelors,17,"Developer, full-stack",50,United States of America,Individual contributor,17,Transportation or Supply Chain,190000
20,Hybrid,Bachelors,10,"Developer, full-stack",15,United States of America,Individual contributor,5,Manufacturing,118000
50,In-person,Bachelors,33,Research & Development role,250,United States of America,Individual contributor,30,Software Development,150000
40,Hybrid,Masters,4,"Developer, full-stack",7500,United States of America,Individual contributor,4,Manufacturing,87250
30,Hybrid,Bachelors,14,"Developer, full-stack",2500,United States of America,Individual contributor,10,Software Development,124000
60,Remote,Bachelors,45,Cloud infrastructure engineer,10000,United States of America,Individual contributor,36,Government,120000
30,Remote,Bachelors,18,"Developer, desktop or enterprise applications",10000,United States of America,,0,Other,205000
50,Remote,Bachelors,36,"Developer, full-stack",5,United States of America,Individual contributor,29,Software Development,250000
60,Remote,Masters,35,"Developer, full-stack",1,United States of America,,0,Other,250000
60,Remote,Bachelors,20,"Developer, full-stack",1,"Venezuela, Bolivarian Republic of...",,0,Other,12000
30,In-person,Masters,12,"Developer, full-stack",250,United States of America,Individual contributor,5,Internet Telecomm or Information Services,257000
40,Remote,Bachelors,20,"Developer, full-stack",2500,United States of America,Individual contributor,13,Healthcare,163000
30,Remote,Bachelors,16,"Developer, back-end",50,Costa Rica,Individual contributor,16,Internet Telecomm or Information Services,200000
30,Remote,Bachelors,9,"Developer, mobile",7500,United States of America,Individual contributor,9,Retail and Consumer Services,105000
30,Remote,Masters,8,"Developer, full-stack",250,Ukraine,,0,Other,48000
40,Hybrid,Bachelors,23,"Developer, full-stack",250,United States of America,Individual contributor,12,Higher Education,70000
50,Hybrid,Bachelors,29,"Developer, desktop or enterprise applications",2500,United States of America,,0,Other,150000
30,Remote,Professional degree,16,Academic researcher,25,United States of America,,0,Other,32744
30,Remote,Bachelors,17,"Developer, back-end",50,United States of America,Individual contributor,17,Software Development,175000
20,In-person,Some college,9,Student,25,United States of America,,0,Other,39520
30,In-person,Bachelors,10,"Developer, embedded applications or devices",250,United States of America,Individual contributor,3,Other,120000
40,Remote,Bachelors,20,"Developer, game or graphics",15,United States of America,Individual contributor,13,Other,80000
40,Remote,Masters,24,Blockchain,250,Poland,Individual contributor,20,Software Development,120000
40,Hybrid,Masters,16,"Developer, back-end",250,United States of America,Individual contributor,13,Internet Telecomm or Information Services,163000
40,Remote,Masters,37,"Developer, back-end",15,Ukraine,Individual contributor,17,Transportation or Supply Chain,72000
30,In-person,Bachelors,6,"Developer, embedded applications or devices",7500,United States of America,Individual contributor,3,Transportation or Supply Chain,150000
30,Remote,Bachelors,10,"Developer, back-end",25,"Venezuela, Bolivarian Republic of...",,0,Other,15600
60,Hybrid,Professional degree,40,Educator,2500,United States of America,,0,Other,145000
30,In-person,Bachelors,6,"Developer, desktop or enterprise applications",250,United States of America,Individual contributor,2,Manufacturing,92000
60,In-person,Some college,28,Project manager,50,United States of America,People manager,28,Higher Education,118106
40,Hybrid,Bachelors,22,"Developer, full-stack",5,United States of America,,0,Other,200000
30,Remote,Bachelors,7,"Developer, full-stack",2500,United States of America,Individual contributor,4,Government,110000
40,In-person,Professional degree,12,Data scientist or machine learning specialist,500 to 999,Nicaragua,,0,Other,72600
40,Remote,Bachelors,10,Other,10000,United States of America,Individual contributor,10,Fintech,215000
