ResponseId,Age Range,RemoteWork,EdLevel,YearsCode,DevType,OrgSize,Country,ICorPM,WorkExp,Industry,TotalComp,Language_Ada,Language_Apex,Language_Assembly,Language_Bash/Shell (all shells),Language_C,Language_C#,Language_C++,Language_Clojure,Language_Cobol,Language_Crystal,Language_Dart,Language_Delphi,Language_Elixir,Language_Erlang,Language_F#,Language_Fortran,Language_GDScript,Language_Go,Language_Groovy,Language_HTML/CSS,Language_Haskell,Language_Java,Language_JavaScript,Language_Julia,Language_Kotlin,Language_Lisp,Language_Lua,Language_MATLAB,Language_MicroPython,Language_Nim,Language_OCaml,Language_Objective-C,Language_PHP,Language_Perl,Language_PowerShell,Language_Prolog,Language_Python,Language_R,Language_Ruby,Language_Rust,Language_SQL,Language_Scala,Language_Solidity,Language_Swift,Language_TypeScript,Language_VBA,Language_Visual Basic (.Net),Language_Zephyr,Language_Zig,Database_BigQuery,Database_Cassandra,Database_Clickhouse,Database_Cloud Firestore,Database_Cockroachdb,Database_Cosmos DB,Database_Couch DB,Database_Couchbase,Database_Databricks SQL,Database_Datomic,Database_DuckDB,Database_Dynamodb,Database_Elasticsearch,Database_EventStoreDB,Database_Firebase Realtime Database,Database_Firebird,Database_H2,Database_IBM DB2,Database_InfluxDB,Database_MariaDB,Database_Microsoft Access,Database_Microsoft SQL Server,Database_MongoDB,Database_MySQL,Database_Neo4J,Database_Oracle,Database_PostgreSQL,Database_Presto,Database_RavenDB,Database_Redis,Database_SQLite,Database_Snowflake,Database_Solr,Database_Supabase,Database_TiDB
390,30,Remote,Some college,7,Student,15,United States of America,Individual contributor,8,Transportation or Supply Chain,110000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
399,50,Remote,Some college,38,"Developer, full-stack",2500,United States of America,Individual contributor,30,Healthcare,195000,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
417,40,Remote,Masters,21,"Developer, back-end",250,Brazil,Individual contributor,17,Other,170000,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
427,20,Remote,Bachelors,9,"Developer, embedded applications or devices",2500,Ukraine,Individual contributor,4,Software Development,50000,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
429,30,Remote,Bachelors,20,"Engineer, site reliability",250,United States of America,Individual contributor,15,Software Development,230000,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
432,40,In-person,Bachelors,25,"Developer, full-stack",50,United States of America,Individual contributor,25,Retail and Consumer Services,85000,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
433,40,Remote,Secondary school,20,"Developer, full-stack",15,United States of America,Individual contributor,20,Software Development,160000,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
441,60,Remote,Bachelors,25,"Developer, front-end",2500,United States of America,,0,Other,110000,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
443,40,In-person,Masters,23,Engineering manager,10000,United States of America,,0,Other,190000,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
448,50,In-person,Associates,10,"Developer, full-stack",250,United States of America,Individual contributor,10,Other,115000,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
